city,state_code,total,total_user,total_p,virus,user_virus,virus_p,virus_rel_p,user_virus_p
Baton Rouge,LA,123941,4411,28.0981636817048,284,141,2.01418439716312,0.229141284966234,3.19655406937202
Salt Lake City,UT,40401,4382,9.21976266544957,249,135,1.84444444444444,0.616321378183709,3.08078502966682
Cincinnati,OH,51631,4365,11.8284077892325,156,109,1.43119266055046,0.302144060738703,2.4971363115693
College Park,GA,19186,4330,4.43094688221709,85,69,1.23188405797101,0.443031377045763,1.59353348729792
Omak,WA,57933,4297,13.4821968815453,364,170,2.14117647058824,0.628312015604233,3.95624854549686
Irvine,CA,39689,4290,9.25151515151515,292,146,2,0.735720224747411,3.4032634032634
Tucson,AZ,61680,4209,14.6543121881682,354,162,2.18518518518519,0.573929961089494,3.84889522451889
Irving,TX,45093,4170,10.8136690647482,126,97,1.29896907216495,0.279422526777992,2.32613908872902
Greensboro,NC,86307,4161,20.7418889689978,154,74,2.08108108108108,0.178432803828195,1.77841864936313
Richmond,VA,60563,4158,14.5654160654161,229,148,1.5472972972973,0.378118653303172,3.55940355940356
Fresno,CA,70728,4125,17.1461818181818,239,143,1.67132867132867,0.33791426309241,3.46666666666667
Plano,TX,41099,4046,10.15793376174,172,114,1.50877192982456,0.418501666707219,2.81759762728621
Beverly Hills,CA,18749,4039,4.64199059173063,142,64,2.21875,0.757373726598752,1.58455063134439
Durham,NC,65171,4036,16.1474231912785,242,136,1.77941176470588,0.371330806647128,3.36967294350842
Mesa,AZ,43938,4007,10.965310706264,235,114,2.06140350877193,0.534844553689289,2.84502121287746
Riverside,CA,42893,3931,10.9114729076571,153,109,1.40366972477064,0.356701559695055,2.77283134062579
Knoxville,TN,54356,3886,13.9876479670612,166,114,1.45614035087719,0.305394068732063,2.93360782295419
Tallahassee,FL,91690,3742,24.5029396044896,290,164,1.76829268292683,0.316283127931072,4.38268305718867
Pasadena,CA,27581,3552,7.76492117117117,197,99,1.98989898989899,0.714259816540372,2.78716216216216
Virginia Beach,VA,55589,3521,15.787844362397,170,91,1.86813186813187,0.305815898828905,2.5844930417495
St Paul,MN,36698,3472,10.5697004608295,166,107,1.55140186915888,0.452340727015096,3.08179723502304
Henderson,NV,51508,3470,14.8438040345821,311,169,1.84023668639053,0.603789702570474,4.87031700288184
Albuquerque,NM,54915,3414,16.085237258348,252,134,1.88059701492537,0.458891013384321,3.92501464557704
Norfolk,VA,62763,3365,18.6517087667162,139,85,1.63529411764706,0.221468062393448,2.5260029717682
Jersey City,NJ,40093,3260,12.2984662576687,213,127,1.67716535433071,0.531264809318335,3.89570552147239
College Station,TX,37812,3221,11.7392114250233,99,76,1.30263157894737,0.261821643922564,2.35951567836076
Enterprise,NV,36360,3203,11.3518576334686,201,95,2.11578947368421,0.552805280528053,2.96596940368405
Buffalo,NY,49303,3138,15.7115997450605,166,101,1.64356435643564,0.336693507494473,3.21861057998725
Des Plaines,IL,33869,3108,10.8973616473616,102,70,1.45714285714286,0.301160353125277,2.25225225225225
West Palm Beach,FL,25626,3079,8.32283208834037,211,81,2.60493827160494,0.823382502146258,2.63072426112374
Birmingham,AL,37675,3076,12.2480494148244,154,59,2.61016949152542,0.408759124087591,1.91807542262679
Lubbock,TX,40710,3028,13.4445178335535,221,74,2.98648648648649,0.542864161139769,2.44385733157199
Frisco,TX,21816,2990,7.29632107023411,92,58,1.58620689655172,0.421708837550422,1.93979933110368
Tulsa,OK,37842,2987,12.6688985604285,197,92,2.14130434782609,0.520585592727657,3.08001339136257
Ontario,CA,21272,2978,7.14304902619208,76,50,1.52,0.357277171869124,1.67897918065816
Hollywood,FL,28613,2932,9.75886766712142,133,72,1.84722222222222,0.464823681543354,2.45566166439291
Cambridge,MA,22171,2929,7.56947763741891,191,112,1.70535714285714,0.861485724595192,3.82383065892796
Denver,PA,43571,2928,14.880806010929,106,70,1.51428571428571,0.24328108145326,2.39071038251366
San Marcos,CA,44662,2856,15.6379551820728,131,74,1.77027027027027,0.293314226859523,2.59103641456583
Costa Mesa,CA,18912,2845,6.64745166959578,108,59,1.83050847457627,0.571065989847716,2.07381370826011
Alexandria,VA,26800,2837,9.44659851956292,200,96,2.08333333333333,0.746268656716418,3.38385618611209
Wichita,KS,36142,2834,12.7529992942837,161,81,1.98765432098765,0.445465109844502,2.85815102328864
Santa Ana,CA,22489,2813,7.99466761464629,109,72,1.51388888888889,0.484681399795456,2.55954496978315
Culver City,CA,13909,2798,4.9710507505361,70,57,1.2280701754386,0.503271263210871,2.03716940671908
Colorado Springs,CO,39762,2762,14.3960897900072,235,110,2.13636363636364,0.591016548463357,3.98262128892107
Boca Raton,FL,26453,2757,9.59484947406601,283,86,3.2906976744186,1.06982194836124,3.11933260790715
St Petersburg,FL,41198,2722,15.1351947097722,259,102,2.53921568627451,0.628671294723045,3.74724467303453
Inglewood,CA,26690,2695,9.90352504638219,84,49,1.71428571428571,0.314724615961034,1.81818181818182
Berkeley,CA,27709,2666,10.3934733683421,183,114,1.60526315789474,0.660435237648418,4.27606901725431
Chandler,AZ,25371,2666,9.51650412603151,139,72,1.93055555555556,0.547869614914666,2.7006751687922
Reno,NV,37245,2662,13.9913598797896,181,115,1.57391304347826,0.485971271311585,4.32006010518407
Seabeck,WA,8803,2659,3.31064309890936,83,59,1.40677966101695,0.942860388503919,2.21887927792403
Bakersfield,CA,48360,2646,18.2766439909297,128,88,1.45454545454545,0.264681555004136,3.32577475434618
Huntington Beach,CA,28010,2625,10.6704761904762,194,77,2.51948051948052,0.692609782220636,2.93333333333333
Fullerton,CA,20763,2577,8.0570430733411,104,53,1.9622641509434,0.500891008043154,2.05665502522313
Daniel,UT,9583,2568,3.73169781931464,73,47,1.5531914893617,0.761765626630492,1.83021806853583
Gilbert,AZ,23164,2547,9.09462112288967,106,67,1.58208955223881,0.457606630979106,2.63054574008638
Staten Island,NY,49976,2521,19.8238794129314,275,142,1.93661971830986,0.550264126780855,5.63268544228481
Providence,RI,33138,2492,13.2977528089888,196,98,2,0.591465990705534,3.93258426966292
Corpus Christi,TX,36254,2491,14.5539943797672,152,71,2.14084507042253,0.419264081204833,2.85026093938177
Lincoln,NE,26704,2464,10.8376623376623,136,79,1.72151898734177,0.509286998202517,3.20616883116883
Metairie,LA,30488,2458,12.4035801464605,76,47,1.61702127659574,0.24927840461821,1.91212367778682
Garland,TX,29109,2440,11.9299180327869,168,48,3.5,0.577141090384417,1.9672131147541
Sandy Springs,GA,26123,2428,10.7590609555189,110,74,1.48648648648649,0.421084867741071,3.04777594728171
Rancho Cucamonga,CA,19045,2420,7.8698347107438,55,48,1.14583333333333,0.28878970858493,1.98347107438017
Fontana,CA,29297,2374,12.3407750631845,61,42,1.45238095238095,0.208212444960235,1.76916596461668
Orange,CA,17027,2359,7.21788893598983,92,53,1.73584905660377,0.540318317965584,2.24671470962272
Tacoma,WA,26891,2334,11.5214224507284,150,83,1.80722891566265,0.557807444870031,3.55612682090831
Grand Rapids,MI,27715,2332,11.8846483704974,87,58,1.5,0.313909435323832,2.48713550600343
Carson,CA,19076,2321,8.21887117621715,51,42,1.21428571428571,0.267351646047389,1.8095648427402
San Bernardino,CA,29897,2313,12.9256376999568,68,45,1.51111111111111,0.2274475699903,1.94552529182879
Overland Park,KS,20641,2312,8.92776816608997,90,49,1.83673469387755,0.43602538636694,2.11937716262976
Gainesville,FL,25818,2300,11.2252173913043,104,74,1.40540540540541,0.40281973816717,3.21739130434783
Chattanooga,TN,26712,2299,11.6189647672901,187,71,2.63380281690141,0.700059898173106,3.08829926054806
Marietta,OH,19913,2276,8.74912126537786,91,46,1.97826086956522,0.456987897353488,2.02108963093146
Ann Arbor,MI,25322,2271,11.150154117129,166,78,2.12820512820513,0.655556433141142,3.43461030383091
Doral,FL,16072,2270,7.08017621145374,160,78,2.05128205128205,0.995520159283225,3.43612334801762
Richardson,TX,21202,2264,9.36484098939929,192,47,4.08510638297872,0.905574945759834,2.07597173144876
Winston-Salem,NC,35390,2252,15.714920071048,82,60,1.36666666666667,0.231703871150042,2.66429840142096
Torrance,CA,18397,2240,8.21294642857143,319,62,5.14516129032258,1.73397836603794,2.76785714285714
Davis Junction,IL,15915,2225,7.15280898876405,58,43,1.34883720930233,0.364436066603833,1.93258426966292
Little Rock,AR,34061,2209,15.4191942055229,126,66,1.90909090909091,0.369924547136021,2.98777727478497
Newport Beach,CA,11737,2195,5.34715261958998,153,97,1.57731958762887,1.30356990713129,4.41913439635535
McAllen,TX,18802,2189,8.58931018730014,67,52,1.28846153846154,0.356345069673439,2.37551393330288
North Las Vegas,NV,27687,2179,12.7062872877467,96,58,1.6551724137931,0.346733123848738,2.66177145479578
University,FL,24673,2177,11.3334864492421,89,63,1.41269841269841,0.360718193977222,2.89389067524116
Santa Clarita,CA,21845,2154,10.1415970287837,120,67,1.7910447761194,0.549324788281071,3.11049210770659
Huntsville,AL,42899,2143,20.0181987867475,108,46,2.34782608695652,0.251754120142661,2.14652356509566
Pembroke Pines,FL,20966,2142,9.78804855275444,102,56,1.82142857142857,0.486501955547076,2.61437908496732
Chula Vista,CA,21329,2133,9.99953117674637,135,75,1.8,0.632941066154063,3.51617440225035
Savannah,GA,37027,2126,17.4162746942615,91,53,1.71698113207547,0.245766602749345,2.49294449670743
Pomona,CA,18106,2093,8.65074056378404,54,33,1.63636363636364,0.29824367612946,1.57668418537984
Pearland,TX,19831,2080,9.53413461538462,54,43,1.25581395348837,0.27230094296808,2.06730769230769
Toledo,OH,30731,2065,14.8818401937046,79,45,1.75555555555556,0.25706940874036,2.17917675544794
Severn,MD,11447,2061,5.55409995147986,45,37,1.21621621621622,0.393116100288285,1.79524502668607
De Funiak Springs,FL,20486,2061,9.93983503153809,29,20,1.45,0.141560089817436,0.970402717127608
McKinney,TX,16322,2039,8.00490436488475,51,33,1.54545454545455,0.312461708124004,1.61844041196665
Mobile,AL,38481,2023,19.0217498764212,115,58,1.98275862068966,0.298848782516047,2.86702916460702
Cary,NC,25318,1985,12.7546599496222,159,70,2.27142857142857,0.628011691286832,3.5264483627204
Bellewood,KY,15226,1974,7.71327254305978,155,104,1.49038461538462,1.01799553395508,5.26849037487335
Jackson,MS,43436,1974,22.0040526849037,83,49,1.69387755102041,0.191085735334745,2.4822695035461
The Woodlands,TX,17880,1965,9.09923664122137,266,43,6.18604651162791,1.48769574944072,2.1882951653944
Waco,TX,19538,1962,9.95820591233435,69,44,1.56818181818182,0.353157948612959,2.24260958205912
Kenner,LA,13675,1962,6.96992864424057,47,31,1.51612903225806,0.343692870201097,1.58002038735984
Montgomery,AL,35018,1953,17.9303635432668,67,35,1.91428571428571,0.191330173053858,1.7921146953405
Elizabeth,NJ,13616,1949,6.98614674191893,75,53,1.41509433962264,0.550822561692127,2.71934325295023
Greenville,SC,18200,1946,9.35251798561151,172,48,3.58333333333333,0.945054945054945,2.46659815005139
Clearwater,FL,18769,1944,9.6548353909465,144,48,3,0.767222547818211,2.46913580246914
Romulus,MI,6337,1918,3.30396246089677,34,27,1.25925925925926,0.53653148177371,1.40771637122002
Coral Gables,FL,12725,1893,6.72213417855256,97,53,1.83018867924528,0.762278978388998,2.79978869519282
Downey,CA,13001,1885,6.89708222811671,34,28,1.21428571428571,0.261518344742712,1.48541114058355
Murfreesboro,TN,27314,1882,14.5132837407014,104,55,1.89090909090909,0.380757120890386,2.92242295430393
Norman,OK,24063,1872,12.8541666666667,107,63,1.6984126984127,0.444666084860574,3.36538461538462
Palm Springs,CA,13745,1859,7.39376008606778,132,49,2.69387755102041,0.960349217897417,2.63582571274879
Fremont,CA,23962,1854,12.9244875943905,157,66,2.37878787878788,0.655204073115767,3.55987055016181
Round Rock,TX,17867,1851,9.65262020529444,42,34,1.23529411764706,0.235070241226843,1.83684494867639
Boise,ID,27797,1830,15.1896174863388,198,74,2.67567567567568,0.712307083498219,4.04371584699454
Laflin,PA,35765,1825,19.5972602739726,74,50,1.48,0.206906193205648,2.73972602739726
Athens,GA,23100,1817,12.7132636213539,110,62,1.7741935483871,0.476190476190476,3.41221794166208
Mesquite,TX,17210,1815,9.48209366391185,85,22,3.86363636363636,0.493898895990703,1.21212121212121
Lakeland Highlands,FL,28476,1807,15.7587161040398,211,41,5.14634146341463,0.740974856019104,2.26895406751522
Winchester,NV,10716,1805,5.93684210526316,53,26,2.03846153846154,0.494587532661441,1.4404432132964
Stockton,CA,29722,1799,16.5214007782101,160,53,3.0188679245283,0.538321781845098,2.94608115619789
Boulder,CO,18302,1787,10.2417459429211,105,61,1.72131147540984,0.573707791498197,3.4135422495803
Fort Wayne,IN,22662,1784,12.7029147982063,84,60,1.4,0.370664548583532,3.36322869955157
Oxnard,CA,33510,1760,19.0397727272727,115,69,1.66666666666667,0.343181139958221,3.92045454545455
Sugar Land,TX,10668,1760,6.06136363636364,71,31,2.29032258064516,0.665541807274091,1.76136363636364
Akron,OH,24538,1759,13.9499715747584,64,46,1.39130434782609,0.260819952726384,2.61512222853894
Pasadena,TX,18297,1757,10.4137734775185,46,37,1.24324324324324,0.251407334535716,2.10586226522482
Tuscaloosa,AL,24079,1754,13.7280501710376,127,41,3.09756097560976,0.527430541135429,2.33751425313569
Garden Grove,CA,11421,1730,6.60173410404624,40,32,1.25,0.350232028719026,1.84971098265896
Mirrormont,WA,20439,1720,11.8831395348837,136,45,3.02222222222222,0.665394588776359,2.61627906976744
Carlsbad,CA,13952,1720,8.11162790697675,67,41,1.63414634146341,0.480217889908257,2.38372093023256
Hayward,CA,22677,1719,13.1919720767888,92,61,1.50819672131148,0.405697402654672,3.54857475276323
Silver Spring,MD,15253,1692,9.01477541371158,107,52,2.05769230769231,0.701501343997902,3.07328605200946
Chesapeake,VA,23340,1668,13.9928057553957,46,30,1.53333333333333,0.197086546700943,1.79856115107914
Syracuse,NY,17976,1656,10.8550724637681,68,42,1.61904761904762,0.378282153983089,2.53623188405797
New Haven,CT,20454,1643,12.4491783323189,180,71,2.53521126760563,0.880023467292461,4.32136335970785
Santa Clara,CA,11147,1638,6.80525030525031,77,55,1.4,0.690768816721988,3.35775335775336
Hawthorne,CA,13912,1636,8.50366748166259,132,38,3.47368421052632,0.948821161587119,2.32273838630807
Worcester,MA,16842,1623,10.3770794824399,74,42,1.76190476190476,0.439377746110913,2.58780036968577
East Longmeadow,MA,12442,1621,7.67550894509562,50,39,1.28205128205128,0.401864651985211,2.40592227020358
Franklin,TN,11999,1569,7.64754620777565,61,30,2.03333333333333,0.508375697974831,1.91204588910134
Newport News,VA,22204,1545,14.3715210355987,45,37,1.21621621621622,0.202666186272744,2.39482200647249
Ocilla,GA,17840,1542,11.5693904020752,148,48,3.08333333333333,0.829596412556054,3.11284046692607
Eugene,OR,27135,1541,17.6086956521739,153,78,1.96153846153846,0.563847429519071,5.06164828033744
Sunrise Manor,NV,20141,1540,13.0785714285714,114,41,2.78048780487805,0.566009632093739,2.66233766233766
Dayton,OR,16609,1538,10.7990897269181,61,29,2.10344827586207,0.367270756818592,1.88556566970091
Yonkers,NY,19917,1536,12.966796875,129,63,2.04761904761905,0.647687904804941,4.1015625
Naperville,IL,10287,1526,6.74115334207077,59,36,1.63888888888889,0.573539418683776,2.35910878112713
Fayetteville,NC,26966,1520,17.7407894736842,70,51,1.37254901960784,0.259586145516576,3.35526315789474
Palo Alto,CA,13379,1520,8.80197368421053,296,48,6.16666666666667,2.21242245309814,3.15789473684211
North Charleston,SC,17663,1519,11.6280447662936,108,40,2.7,0.611447658948084,2.63331138907176
West Covina,CA,11656,1515,7.69372937293729,21,20,1.05,0.180164722031572,1.32013201320132
Asheville,NC,13759,1510,9.11192052980132,68,41,1.65853658536585,0.494221963805509,2.71523178807947
Thousand Oaks,CA,19226,1501,12.8087941372418,55,41,1.34146341463415,0.286070945594507,2.73151232511659
Brookhaven,GA,15016,1501,10.0039973351099,79,39,2.02564102564103,0.526105487480021,2.59826782145237
Chapel Hill,NC,12172,1500,8.11466666666667,117,52,2.25,0.961222477817943,3.46666666666667
Hiawatha,IA,13274,1500,8.84933333333333,53,42,1.26190476190476,0.399276781678469,2.8
Alpharetta,GA,11942,1500,7.96133333333333,37,28,1.32142857142857,0.309830849104003,1.86666666666667
Sunrise,FL,13616,1485,9.16902356902357,36,33,1.09090909090909,0.264394829612221,2.22222222222222
Lewisville,TX,13067,1482,8.81713900134953,58,35,1.65714285714286,0.443866227902349,2.36167341430499
Scott Lake,FL,5026,1479,3.39824205544287,6,6,1,0.119379228014326,0.405679513184584
Hampton,VA,27825,1478,18.8261163734777,58,29,2,0.208445642407906,1.96211096075778
Towson,MD,14326,1470,9.74557823129252,47,31,1.51612903225806,0.32807482898227,2.10884353741497
Tyler,TX,18207,1466,12.4195088676671,29,23,1.26086956521739,0.159279398033723,1.56889495225102
Manchester,NH,10951,1454,7.53163686382393,36,19,1.89473684210526,0.328737101634554,1.30674002751032
East Pleasant View,CO,14475,1452,9.96900826446281,34,23,1.47826086956522,0.234887737478411,1.58402203856749
Boynton Beach,FL,14857,1445,10.281660899654,156,61,2.55737704918033,1.05001009625093,4.22145328719723
Iowa City,IA,17172,1444,11.8919667590028,40,34,1.17647058823529,0.232937339855579,2.35457063711911
Addison,TX,9635,1441,6.68632893823734,44,21,2.0952380952381,0.456668396471199,1.45732130464955
Ventura,CA,16088,1438,11.1877607788595,89,37,2.40540540540541,0.553207359522626,2.57301808066759
Kendall,FL,9658,1432,6.74441340782123,35,30,1.16666666666667,0.362393870366536,2.09497206703911
Plantation,FL,12374,1426,8.67741935483871,59,29,2.03448275862069,0.476806206562146,2.03366058906031
Fort Washington,MD,7826,1425,5.4919298245614,40,30,1.33333333333333,0.511116790186558,2.10526315789474
Smyrna,GA,13409,1424,9.41643258426966,52,34,1.52941176470588,0.387799239316877,2.3876404494382
Hartford,CT,16778,1419,11.8238195912615,45,33,1.36363636363636,0.268208368101085,2.32558139534884
Amherst,NY,15745,1418,11.1036671368124,86,47,1.82978723404255,0.546205144490314,3.31452750352609
Missouri Valley,IA,12750,1412,9.02974504249292,58,29,2,0.454901960784314,2.05382436260623
Myrtle Beach,SC,11776,1408,8.36363636363636,36,25,1.44,0.30570652173913,1.77556818181818
Whittier,CA,15224,1403,10.8510334996436,32,24,1.33333333333333,0.210194429847609,1.71062009978617
North Miami,FL,13065,1392,9.38577586206897,52,32,1.625,0.398009950248756,2.29885057471264
Kissimmee,FL,10493,1387,7.56524873828407,41,31,1.32258064516129,0.390736681597255,2.23503965392934
Moreno Valley,CA,23410,1386,16.8903318903319,53,42,1.26190476190476,0.226398974797095,3.03030303030303
Carmel,IN,11986,1383,8.66666666666667,64,39,1.64102564102564,0.533956282329384,2.81995661605206
Modesto,CA,17599,1383,12.7252349963847,61,39,1.56410256410256,0.346610602875163,2.81995661605206
Anchorage,AK,31187,1373,22.714493809177,142,70,2.02857142857143,0.455317920928592,5.09832483612527
Beaumont,TX,18181,1373,13.2418062636562,26,23,1.1304347826087,0.143006435289588,1.67516387472688
Sunnyvale,CA,10302,1372,7.50874635568513,137,63,2.17460317460317,1.32983886623957,4.59183673469388
Somerville,MA,11821,1371,8.62217359591539,84,41,2.04878048780488,0.710599780052449,2.99051787016776
Pompano Beach,FL,16938,1369,12.372534696859,110,48,2.29166666666667,0.649427323178652,3.50620891161432
Norwalk,CA,11524,1363,8.45487894350697,34,26,1.30769230769231,0.295036445678584,1.90755685986794
Edinburg,TX,13921,1361,10.2285084496694,39,33,1.18181818181818,0.280152287910351,2.42468772961058
Concord,NC,11334,1361,8.32770022042616,26,22,1.18181818181818,0.229398270689959,1.61645848640705
Atlantic City,NJ,6564,1354,4.84785819793205,42,12,3.5,0.639853747714808,0.886262924667651
Bethesda,MD,9115,1345,6.77695167286245,157,76,2.06578947368421,1.72243554580362,5.65055762081784
Lakewood,IL,11912,1345,8.85650557620818,102,35,2.91428571428571,0.856279382135661,2.60223048327138
Augusta,GA,22575,1339,16.8595967139656,56,28,2,0.248062015503876,2.09111277072442
Bloomington,MN,7979,1334,5.98125937031484,43,21,2.04761904761905,0.538914650958767,1.57421289355322
Lakeland,GA,13038,1333,9.78094523630908,42,31,1.35483870967742,0.322135296824666,2.32558139534884
Edmond,OK,12337,1331,9.26897069872276,41,23,1.78260869565217,0.332333630542271,1.72802404207363
Buena Park,CA,8146,1316,6.18996960486322,70,21,3.33333333333333,0.859317456420329,1.59574468085106
San Martin,CA,8719,1311,6.65064836003051,64,43,1.48837209302326,0.734029131781168,3.27993897787948
Vancouver,WA,16580,1308,12.6758409785933,80,55,1.45454545454545,0.482509047044632,4.20489296636086
Mountain View,CA,11188,1303,8.5863392171911,109,58,1.87931034482759,0.974258133714694,4.4512663085188
Hoover,AL,12908,1303,9.90636991557943,32,22,1.45454545454545,0.247908273938643,1.68841135840368
Compton,CA,16117,1299,12.4072363356428,38,27,1.40740740740741,0.235775888813055,2.07852193995381
Fort Collins,CO,15892,1297,12.2528912875867,75,52,1.44230769230769,0.471935565064183,4.00925212027756
Spokane,WA,20416,1296,15.7530864197531,343,72,4.76388888888889,1.68005485893417,5.55555555555556
Shreveport,LA,20892,1296,16.1203703703704,67,30,2.23333333333333,0.320696917480375,2.31481481481481
Dalzell,IL,9478,1294,7.32457496136012,58,39,1.48717948717949,0.611943447984807,3.01391035548686
Spring,TX,10715,1293,8.28692962103635,21,14,1.5,0.195986934204386,1.08275328692962
Santa Barbara,CA,12083,1290,9.36666666666667,51,31,1.64516129032258,0.422080609120252,2.4031007751938
